id,name,description,price,color,size,warranty,availability
1,Bluetooth Headset,Bluetooth Headset with top features and excellent quality.,35974,Blue,13 inch,6 months,Out of stock
2,Running Shoes,Running Shoes with top features and excellent quality.,9529,Silver,Standard,2 years,In stock
3,Smartphone Case,Smartphone Case with top features and excellent quality.,43675,Grey,XL,2 years,Out of stock
4,Graphic Hoodie,Graphic Hoodie with top features and excellent quality.,9337,White,Standard,2 years,Out of stock
5,Leather Wallet,Leather Wallet with top features and excellent quality.,44504,Silver,30L,2 years,Out of stock
6,LED Monitor,LED Monitor with top features and excellent quality.,34806,Silver,Standard,2 years,Out of stock
7,Wireless Keyboard,Wireless Keyboard with top features and excellent quality.,26529,Brown,Standard,6 months,Out of stock
8,Electric Kettle,Electric Kettle with top features and excellent quality.,40723,Black,Adjustable,2 years,In stock
9,Hair Dryer,Hair Dryer with top features and excellent quality.,40768,Black,Adjustable,6 months,Out of stock
10,Formal Shirt,Formal Shirt with top features and excellent quality.,2917,White,M,2 years,Out of stock
11,Smartwatch,Smartwatch with top features and excellent quality.,27548,Black,M,2 years,In stock
12,Cotton T-shirt,Cotton T-shirt with top features and excellent quality.,46462,White,Standard,2 years,In stock
13,Denim Jeans,Denim Jeans with top features and excellent quality.,25377,Red,Adjustable,2 years,In stock
14,Sneakers,Sneakers with top features and excellent quality.,25126,Black,One Size,2 years,Out of stock
15,Gaming Mouse,Gaming Mouse with top features and excellent quality.,14433,White,30L,6 months,Out of stock
16,USB Charger,USB Charger with top features and excellent quality.,12897,Silver,Standard,2 years,Out of stock
17,Portable Speaker,Portable Speaker with top features and excellent quality.,7983,Brown,Adjustable,2 years,In stock
18,Power Bank,Power Bank with top features and excellent quality.,21271,White,Adjustable,2 years,In stock
19,Tablet Cover,Tablet Cover with top features and excellent quality.,33351,Grey,L,2 years,Out of stock
20,Office Backpack,Office Backpack with top features and excellent quality.,41066,Black,13 inch,1 year,In stock
21,Noise Cancelling Headphones,Noise Cancelling Headphones with top features and excellent quality.,40129,Red,One Size,2 years,Out of stock
22,Digital Camera,Digital Camera with top features and excellent quality.,36482,Grey,Standard,2 years,Out of stock
23,Wired Earphones,Wired Earphones with top features and excellent quality.,40795,White,13 inch,1 year,In stock
24,MacBook Air,MacBook Air with top features and excellent quality.,34604,Grey,Adjustable,6 months,Out of stock
25,Wireless Earbuds,Wireless Earbuds with top features and excellent quality.,5661,Brown,M,1 year,Out of stock
26,Electric Toothbrush,Electric Toothbrush with top features and excellent quality.,36902,Silver,XL,6 months,Out of stock
27,Fitness Tracker,Fitness Tracker with top features and excellent quality.,13659,Blue,30L,1 year,In stock
28,Laptop Stand,Laptop Stand with top features and excellent quality.,5953,Grey,M,1 year,In stock
29,Smart Bulb,Smart Bulb with top features and excellent quality.,44538,Brown,XL,2 years,Out of stock
30,Phone Tripod,Phone Tripod with top features and excellent quality.,42628,Blue,XL,1 year,Out of stock
31,Wireless Router,Wireless Router with top features and excellent quality.,25333,Black,S,1 year,Out of stock
32,Portable SSD,Portable SSD with top features and excellent quality.,18142,Green,XL,1 year,In stock
33,Dress Watch,Dress Watch with top features and excellent quality.,27964,Green,30L,6 months,In stock
34,Rain Jacket,Rain Jacket with top features and excellent quality.,24149,Grey,M,2 years,Out of stock
35,DSLR Camera,DSLR Camera with top features and excellent quality.,6209,Blue,Standard,2 years,In stock
36,Beanie Hat,Beanie Hat with top features and excellent quality.,43039,Red,L,1 year,In stock
37,Action Camera,Action Camera with top features and excellent quality.,5564,White,30L,6 months,Out of stock
38,Bluetooth Adapter,Bluetooth Adapter with top features and excellent quality.,30302,White,M,6 months,Out of stock
39,Foldable Chair,Foldable Chair with top features and excellent quality.,43623,Red,Adjustable,1 year,Out of stock
40,Espresso Machine,Espresso Machine with top features and excellent quality.,8074,Red,30L,6 months,Out of stock
41,Bluetooth Speaker,Bluetooth Speaker with top features and excellent quality.,36088,Red,XL,2 years,Out of stock
42,UV Sunglasses,UV Sunglasses with top features and excellent quality.,8689,Brown,Standard,6 months,In stock
43,Thermal Flask,Thermal Flask with top features and excellent quality.,23836,Grey,M,1 year,Out of stock
44,Mechanical Keyboard,Mechanical Keyboard with top features and excellent quality.,25036,Brown,Adjustable,1 year,In stock
45,Graphic Tee,Graphic Tee with top features and excellent quality.,25568,White,L,1 year,In stock
46,Winter Gloves,Winter Gloves with top features and excellent quality.,22763,Black,13 inch,1 year,In stock
47,Digital Watch,Digital Watch with top features and excellent quality.,36562,Black,Standard,6 months,Out of stock
48,Folding Table,Folding Table with top features and excellent quality.,34526,Green,Standard,6 months,Out of stock
49,Laptop Sleeve,Laptop Sleeve with top features and excellent quality.,2434,Red,Adjustable,2 years,In stock
50,Microwave Oven,Microwave Oven with top features and excellent quality.,16760,White,M,2 years,Out of stock
